timestamp,ax,ay,az,gx,gy,gz
8415,-6892,4972,-32768,12012,29297,-27734
8429,-2100,3940,-32768,21953,27400,-24869
8461,1752,3132,-32768,26745,19843,-20798
8481,3476,4216,-29400,32590,19888,-17088
8503,5196,5484,-24688,32767,19255,-12979
8518,5536,4840,-18560,32767,22311,-8711
8547,5804,5552,-13004,32767,25622,-3840
8569,4728,4928,-8580,32767,27752,1468
8591,3632,4816,-3880,32767,27214,6757
8613,4852,3068,2232,32767,21115,12473
8635,4028,-400,10060,32543,12306,18328
8657,344,-2112,16592,26204,10429,22733
8680,-4624,-1240,23340,17023,6478,26270
8697,-7804,-2660,28608,6035,293,28558
8721,-12972,-848,31140,-4133,2471,30572
8745,-19992,3276,29068,-15220,-1961,31156
8768,-24304,5288,23160,-23004,-3388,29507
8790,-27664,6144,17804,-28936,-6505,26629
8812,-30596,7620,13576,-32048,-1973,22900
8832,-32768,8424,9448,-32768,808,18113
8853,-32768,9420,2500,-32768,-7791,13686
8875,-32768,11720,-3840,-32768,-8807,10368
8897,-32768,11288,-6384,-32768,-4345,5753
8919,-32768,11532,-8724,-32768,-2571,-345
8944,-32768,12472,-13264,-32768,-9347,-5636
8966,-28712,11936,-19780,-32768,-3925,-9378
8987,-26576,12124,-27416,-29358,5633,-13231
9008,-25568,10048,-32608,-19722,13136,-18077
9032,-24552,7212,-32768,-8964,18868,-23688
9046,-19752,6088,-32768,3431,25352,-29011
9076,-13232,5708,-32768,16439,32767,-32202
9098,-7348,5544,-29888,26053,32767,-32587
9120,-832,6624,-24420,32116,28888,-30557
9142,4724,6016,-19900,32767,32374,-26838
9163,6548,5052,-13600,32767,32767,-21451
9185,5756,3936,-6116,32767,32767,-14617
9207,7708,996,692,32767,29241,-7169
9229,11036,-1932,4128,32767,16780,-320
9251,10644,-4960,7228,32767,24660,6576
9274,5320,-4348,12608,32767,32767,13489
9296,1236,-4652,21440,22482,21407,19783
9318,680,-6312,28948,9886,5408,25446
9337,-6856,-8456,32767,-1585,5004,29808
9362,-15136,-5700,32767,-14346,5575,31308
9385,-17472,-228,28236,-26191,2704,30719
9407,-19484,4140,20492,-32768,-477,30008
9427,-21616,8400,12884,-32768,-2568,28955
9450,-25644,12156,8100,-32768,-6509,27944
9472,-28872,14288,3560,-32768,-7180,25809
9493,-32768,15708,448,-32768,-8342,21604
9515,-32768,18320,-3760,-32768,-8484,16374
9537,-32768,19680,-10176,-32768,-13155,10130
9557,-32768,20204,-17828,-32768,-15115,3549
